TEAM,NAME,POSITION,YEAR,STARS
Air Force,Tre Bugg,CB,4,7
Air Force,James Jones,CB,4,6
Air Force,David Eure,CB,4,6
Air Force,Zion Kelly,CB,3,6
Air Force,Michael Mack,CB,2,6
Air Force,Eian Castonguay,CB,2,6
Air Force,Kenny Ngaima,DL,4,6
Air Force,McKenly ONeal,DL,4,6
Air Force,Kolby Barker,DL,4,6
Air Force,Jordan Jackson,DL,4,6
Air Force,Christopher Herrera,DL,3,6
Air Force,Elijah Brockman,DL,3,6
Air Force,Kalawaia Pescaia,DL,3,6
Air Force,Jayden Thiergood,DL,2,6
Air Force,Charles Bein,K,2,6
Air Force,Matthew Dapore,K,1,6
Air Force,Demonte Meeks,LB,4,7
Air Force,Noah Bush,LB,4,6
Air Force,Caleb Humphrey,LB,4,6
Air Force,Brandon Gooding,LB,4,6
Air Force,Lakota Wills,LB,4,6
Air Force,Vince Sanford,LB,3,6
Air Force,TD Blackmon,LB,3,6
Air Force,Johnathan Youngblood,LB,2,6
Air Force,Matthew Malloy,LB,2,6
Air Force,Alec Mock,LB,2,6
Air Force,Nasir Rashid,LB,2,6
Air Force,Nate Polk,LB,2,6
Air Force,Ryan Booth,OL,4,6
Air Force,Benjamin Mercer,OL,4,6
Air Force,Hawk Wimmer,OL,4,6
Air Force,Isaac Cochran,OL,3,6
Air Force,Mark Hiestand,OL,3,6
Air Force,Luke Hallstrom,OL,2,6
Air Force,Ayden McCollough,OL,2,6
Air Force,Everett Smalley,OL,2,6
Air Force,Thor Paglialong,OL,2,6
Air Force,Kaleb Holcomb,OL,2,6
Air Force,Wesley Ndago,OL,2,6
Air Force,Adam Karas,OL,2,6
Air Force,Warren Bryan,QB,4,6
Air Force,Haaziq Daniels,QB,3,6
Air Force,Zachary Larrier,QB,2,6
Air Force,Jensen Jones,QB,2,6
Air Force,Ben Brittain,QB,2,6
Air Force,Brad Roberts,RB,3,7
Air Force,Emmanuel Michel,RB,3,6
Air Force,Omar Fattah,RB,3,6
Air Force,Deandre Hughes,RB,3,6
Air Force,John LeeEldridge,RB,2,6
Air Force,Jacob Trach,RB,2,6
Air Force,Jorden Gidrey,RB,2,6
Air Force,Owen Burk,RB,2,6
Air Force,Corvan Taylor,S,4,6
Air Force,Ethan Erickson,S,4,6
Air Force,Trey Taylor,S,3,6
Air Force,Camby Goff,S,2,6
Air Force,Mason Bugg,S,2,6
Air Force,Jalen Mergerson,S,2,6
Air Force,Jayden Goodwin,S,2,6
Air Force,Dalton King,TE,4,6
Air Force,Kyle Patterson,TE,3,6
Air Force,Caden Blum,TE,2,6
Air Force,Brandon Lewis,WR,4,6
Air Force,Jake Spiewak,WR,4,6
Air Force,David Cormier,WR,3,6
Air Force,Ben Jefferson,WR,3,6
Air Force,Micah Davis,WR,2,6
Air Force,Dane Kinamon,WR,2,6
Akron,Chu Ogbonna,CB,3,6
Akron,Jaylen Kelly-Powell,CB,3,6
Akron,Randy Cochran,CB,2,6
Akron,Ronald Jackson,CB,1,6
Akron,Tyson Durant,CB,1,5
Akron,MyJaden Horton,CB,1,5
Akron,Ryan McClain,DL,3,6
Akron,Zach Morton,DL,3,6
Akron,Angelo Howze,DL,3,5
